,Zip Code,2017 Crime count,geoid,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black,Percent NonHisp White,Percent NonHisp Black,Violent Crime Rate
0,90001,51,86000US90001,57942,5719,435,4936,52223,20376,217,0.7507507507507507,8.518863691277485,88.01905353629492
1,90002,524,86000US90002,51826,12299,407,11002,39527,19166,186,0.7853201095974992,21.22872689383707,1011.0755219387951
2,90003,1456,86000US90003,70208,16578,433,15606,53630,17681,600,0.6167388331814039,22.228236098450317,2073.8377392889697
3,90004,267,86000US90004,63095,31130,11187,2296,31965,14424,109,17.730406529835964,3.6389571281401065,423.17140819399316
4,90005,260,86000US90005,39338,19139,3040,2027,20199,4431,186,7.727896690223194,5.152778483908689,660.9385327164574
5,90006,469,86000US90006,61230,16378,2173,1900,44852,11101,222,3.5489139310795363,3.103054058468071,765.9643965376449
6,90007,435,86000US90007,41979,21040,7443,4256,20939,4862,104,17.730293718287715,10.138402534600633,1036.2324019152434
7,90008,356,86000US90008,32060,24144,1224,20681,7916,4366,370,3.817841547099189,64.50717404865877,1110.4179663131629
8,90010,262,86000US90010,3524,3151,489,179,373,176,20,13.87627695800227,5.079455164585698,7434.733257661748
9,90011,744,86000US90011,104762,10379,623,8660,94383,37374,319,0.5946812775624749,8.266356121494436,710.1811725625704
10,90012,284,86000US90012,32543,23348,5152,3979,9195,4286,95,15.831361583136157,12.226899794118552,872.6915158405802
11,90013,1181,86000US90013,11668,9891,3506,3522,1777,843,0,30.04799451491258,30.1851217003771,10121.70037709976
12,90014,531,86000US90014,7191,5949,3152,1293,1242,521,0,43.83256848838826,17.9808093450146,7384.230287859825
13,90015,449,86000US90015,19378,7009,2460,1387,12369,4154,43,12.694808545773558,7.157601403653628,2317.060584167613
14,90016,425,86000US90016,47079,22085,3272,15865,24994,14016,332,6.95002017884832,33.698676692368146,902.7379511034644
15,90017,542,86000US90017,25772,8560,3178,1270,17212,5644,102,12.331212168244607,4.927828651249418,2103.057581871799
16,90018,535,86000US90018,51639,22325,2210,16765,29314,7470,648,4.279711071089681,32.465771994035514,1036.0386529560992
17,90019,310,86000US90019,68530,36250,9938,13247,32280,14362,265,14.501678097183715,19.330220341456297,452.35663213191305
18,90020,144,86000US90020,40170,26655,4612,2052,13515,6859,87,11.481204879263132,5.108289768483943,358.4764749813293
19,90021,203,86000US90021,2954,1480,545,702,1474,457,0,18.449559918754233,23.764387271496275,6872.037914691943
20,90023,291,86000US90023,46611,1519,882,244,45092,28508,179,1.8922571925082061,0.5234815816009096,624.3161485486258
21,90024,116,86000US90024,49737,44228,27048,869,5509,3236,42,54.38204958079498,1.7471902205601464,233.2267728250598
22,90025,291,86000US90025,46520,37878,24739,1291,8642,4565,73,53.1792777300086,2.7751504729148753,625.5374032674118
23,90026,244,86000US90026,67557,31604,16514,2168,35953,21296,296,24.44454312654499,3.209141909794692,361.17648800272366
24,90027,41,86000US90027,46043,36314,27252,1263,9729,3459,69,59.1881502074148,2.7430879829724386,89.04719501335708
25,90028,1142,86000US90028,31122,21139,15158,2502,9983,2159,103,48.705096073517126,8.03932909196067,3669.429985219459
26,90029,750,86000US90029,40242,17954,9503,911,22288,6062,64,23.61463147954873,2.2638039858853936,1863.7244669748025
27,90031,344,86000US90031,38940,12552,2658,235,26388,11892,64,6.825885978428352,0.603492552645095,883.4103749357987
28,90032,267,86000US90032,47285,9001,3372,689,38284,17445,137,7.131225547213704,1.4571217087871418,564.6610975996616
29,90033,580,86000US90033,49156,4477,1233,668,44679,31389,108,2.508340792578729,1.3589388884368134,1179.9169989421434
30,90034,122,86000US90034,57443,41164,22081,5202,16279,12050,311,38.439844715631146,9.055933708197692,212.3844506728409
31,90035,226,86000US90035,30582,27373,21466,2193,3209,1246,61,70.19161598325813,7.1708848342162055,738.9967955006213
32,90036,224,86000US90036,37931,34486,23442,1836,3445,1356,96,61.80169254699322,4.840368036698215,590.5459914054468
33,90037,1151,86000US90037,61451,14294,1032,11775,47157,16208,225,1.6793868285300484,19.16160843598965,1873.0370539128737
34,90038,450,86000US90038,28155,12231,8287,1578,15924,3407,48,29.433493162848517,5.6046883324453916,1598.2951518380394
35,90039,157,86000US90039,28436,17659,10954,648,10777,5257,16,38.52159234772824,2.278801519201013,552.1170347446898
36,90041,88,86000US90041,28405,17392,8738,364,11013,6401,30,30.762189755324766,1.2814645308924484,309.80461186410844
37,90042,250,86000US90042,63109,20518,9849,1640,42591,19668,203,15.606331901947424,2.598678476920883,396.1400117257444
38,90043,551,86000US90043,44328,30177,1689,26485,14151,6604,492,3.8102328099621006,59.74778920772423,1243.006677495037
39,90044,563,86000US90044,90155,34167,948,31408,55988,20789,430,1.0515223781265597,34.83777937995674,624.4800621152459
40,90045,227,86000US90045,41145,33809,20517,5297,7336,4276,69,49.86511119212541,12.873982257868514,551.7073763519261
41,90046,64,86000US90046,50923,45174,37597,2142,5749,2767,38,73.83107829468021,4.20635076488031,125.67994815702139
42,90047,326,86000US90047,48306,33394,648,31197,14912,7474,237,1.341448267295988,64.58203949819898,674.86440607792
43,90048,199,86000US90048,22722,20621,17007,548,2101,1175,10,74.84816477422763,2.411759528210545,875.8031863392307
44,90049,17,86000US90049,35581,33494,28582,446,2087,1572,18,80.32938928079592,1.2534779798206908,47.778308647873864
45,90056,43,86000US90056,8118,7465,1011,5938,653,341,118,12.453806356245382,73.14609509731461,529.6871150529688
46,90057,1013,86000US90057,48302,14684,2579,2059,33618,10310,134,5.339323423460726,4.262763446648172,2097.2216471367647
47,90058,33,86000US90058,2674,379,90,192,2295,1041,20,3.3657442034405385,7.180254300673148,1234.1062079281976
48,90059,440,86000US90059,46027,15378,368,14167,30649,17199,242,0.7995307102352966,30.77975970625937,955.9606318030721
49,90061,411,86000US90061,27203,10072,179,9484,17131,8633,159,0.6580156600374958,34.863801786567656,1510.8627724883286
50,90062,856,86000US90062,33690,12336,322,10713,21354,6078,453,0.9557732264766993,31.798753339269815,2540.813297714455
51,90063,68,86000US90063,54142,1961,800,205,52181,21308,78,1.477595951387093,0.3786339625429426,125.59565586790292
52,90064,109,86000US90064,27032,23365,16591,994,3667,2821,30,61.37540692512577,3.6771234092926903,403.22580645161287
53,90065,138,86000US90065,46965,17904,9034,778,29061,15843,141,19.235600979452784,1.6565527520493986,293.83583519642286
54,90066,165,86000US90066,59258,41465,27870,1945,17793,8676,109,47.03162442201897,3.282257247966519,278.4434169226096
55,90067,35,86000US90067,2355,2316,1801,6,39,30,0,76.4755838641189,0.25477707006369427,1486.1995753715498
56,90068,20,86000US90068,21450,19424,15996,700,2026,966,0,74.57342657342657,3.263403263403263,93.24009324009324
57,90069,63,86000US90069,20435,17948,14614,994,2487,1179,26,71.51455835576218,4.864203572302422,308.2945926107169
58,90071,456,86000US90071,0,0,0,0,0,0,0,,,inf
59,90077,21,86000US90077,8912,8236,6845,213,676,558,0,76.80655296229803,2.390035906642729,235.63734290843806
60,90079,247,86000US90079,0,0,0,0,0,0,0,,,inf
61,90094,98,86000US90094,8072,7215,3672,1033,857,392,20,45.490584737363726,12.797324083250745,1214.073339940535
62,90210,13,86000US90210,20957,19981,17079,250,976,599,0,81.49544305005487,1.192918833802548,62.031779357732496
63,90211,35,86000US90211,8129,7522,6178,129,607,417,0,75.9995079345553,1.5869110591708697,430.5572641161275
64,90212,12,86000US90212,12915,12067,10110,107,848,519,17,78.28106852497096,0.8284939992257067,92.91521486643438
65,90230,73,86000US90230,32692,21892,12610,2708,10800,7894,46,38.57212773767282,8.283372078796036,223.2962192585342
66,90232,53,86000US90232,14810,11262,7294,954,3548,2794,40,49.25050641458474,6.441593517893315,357.86630654962863
67,90245,9,86000US90245,16901,13827,11275,275,3074,2173,11,66.71202887403112,1.6271226554641738,53.251286906100226
68,90247,60,86000US90247,47706,25166,3192,9061,22540,8553,152,6.690982266381587,18.99341801869786,125.77034335303735
69,90248,28,86000US90248,10592,6268,989,1712,4324,2376,55,9.337235649546828,16.1631419939577,264.35045317220545
70,90272,4,86000US90272,23151,22074,19326,283,1077,999,0,83.47803550602566,1.2224093991620233,17.277871366247677
71,90291,405,86000US90291,27277,21969,18291,1393,5308,4020,53,67.05649448253106,5.106866590900759,1484.7673864427907
72,90292,79,86000US90292,22482,20647,16404,1444,1835,1318,0,72.96503869762476,6.422916110666311,351.39222489102394
73,90293,42,86000US90293,12649,10818,7920,643,1831,828,53,62.6136453474583,5.0834058028302636,332.0420586607637
74,90302,21,86000US90302,31064,17721,1845,14620,13343,7358,431,5.9393510172547,47.06412567602369,67.60236930208602
75,90304,10,86000US90304,27008,2435,765,936,24573,10538,352,2.8324940758293837,3.46563981042654,37.0260663507109
76,90305,136,86000US90305,15777,13364,440,12196,2413,1430,50,2.7888698738670215,77.3024022310959,862.0143246498067
77,90402,44,86000US90402,11410,10649,9285,88,761,701,0,81.37598597721298,0.7712532865907099,385.62664329535494
78,90404,29,86000US90404,22201,15896,10757,1503,6305,4715,57,48.45277239763975,6.769965316877618,130.62474663303453
79,90405,11,86000US90405,28861,24223,18812,1021,4638,3828,19,65.18138664633935,3.5376459582135062,38.11371747340702
80,90501,55,86000US90501,43405,25156,10489,2485,18249,7654,194,24.165418730560994,5.725146872480129,126.71351226817187
81,90502,47,86000US90502,17855,10941,2617,1583,6914,3307,10,14.656958835060207,8.86586390366844,263.2315877905349
82,90710,176,86000US90710,27914,15688,5318,3513,12226,5772,53,19.051372071362042,12.585082754173532,630.5079888228129
83,90717,9,86000US90717,21658,14442,9280,817,7216,3667,13,42.84790839412688,3.772278142026041,41.55508357189029
84,90731,270,86000US90731,61046,27967,18019,4672,33079,18221,206,29.5170854765259,7.653245093863643,442.28942109229104
85,90732,372,86000US90732,21763,15489,11560,655,6274,3898,33,53.11767679088361,3.0096953545007583,1709.323163166843
86,90744,460,86000US90744,57432,5483,2662,824,51949,31398,190,4.635046663880763,1.4347402145145562,800.9472071319126
87,90745,1,86000US90745,57785,32266,4596,3940,25519,13760,146,7.953621181967639,6.818378471921779,1.7305529116552738
88,90810,2,86000US90810,37422,18767,2160,4462,18655,12263,65,5.772005772005772,11.923467479023035,5.3444497888942335
89,90813,3,86000US90813,60997,21460,3982,6380,39537,26337,690,6.528189910979229,10.459530796596555,4.918274669246028
90,91030,22,86000US91030,25905,20781,10923,661,5124,3068,61,42.1656050955414,2.5516309592742714,84.92569002123143
91,91040,130,86000US91040,19587,14962,12406,354,4625,3544,0,63.337928217695406,1.8073211824169093,663.7055189666615
92,91105,10,86000US91105,11728,9875,6729,696,1853,1189,0,57.37551159618008,5.9345156889495225,85.26603001364256
93,91201,12,86000US91201,23510,18841,15683,334,4669,2318,41,66.70778392173543,1.420672054444917,51.04210974053594
94,91204,22,86000US91204,17681,11608,7714,531,6073,3566,55,43.62875402974945,3.0032237995588487,124.42735139415191
95,91205,15,86000US91205,37664,28237,21487,778,9427,5783,172,57.049171622769755,2.0656329651656753,39.825828377230245
96,91206,13,86000US91206,34247,29191,21814,351,5056,3241,66,63.69609016848191,1.0249072911495898,37.95952930183665
97,91214,19,86000US91214,30935,27415,17079,120,3520,2128,16,55.20930984321966,0.3879101341522547,61.419104574106996
98,91303,443,86000US91303,29668,10800,5677,1308,18868,12125,24,19.13509505190778,4.408790616152083,1493.1913172441687
99,91304,42,86000US91304,52846,30674,19240,2171,22172,7157,39,36.40767513151421,4.108163342542482,79.47621390455285
100,91306,308,86000US91306,49043,23131,11926,1543,25912,9558,94,24.31743571967457,3.1462186244724015,628.0203087086842
101,91307,8,86000US91307,26703,22665,16666,817,4038,2196,0,62.412463019136425,3.059581320450886,29.959180616410137
102,91311,119,86000US91311,38479,29166,19091,1474,9313,5318,32,49.614075209854725,3.8306608799604978,309.2595961433509
103,91316,107,86000US91316,29485,25160,20587,1060,4325,3504,16,69.82194336103103,3.5950483296591487,362.8963879938952
104,91321,1,86000US91321,34664,18153,13604,868,16511,11310,78,39.24532656358181,2.504038772213247,2.884837295176552
105,91324,322,86000US91324,29689,19109,11264,2218,10580,4615,194,37.93997776954428,7.470780423725959,1084.5767792785207
106,91325,140,86000US91325,33558,22688,13544,2629,10870,5938,158,40.35997377674474,7.8341975087907505,417.1881518564873
107,91326,40,86000US91326,36168,31611,17238,1189,4557,2747,4,47.66091572660916,3.287436407874364,110.59500110595002
108,91331,427,86000US91331,101536,13901,4364,3204,87635,56490,238,4.297982981405609,3.155531043176804,420.54049795146545
109,91335,434,86000US91335,80161,38596,24137,3391,41565,30837,144,30.110652312221653,4.230236648744402,541.4104115467621
110,91340,431,86000US91340,35681,3040,1537,765,32641,20081,279,4.307614696897509,2.143998206328298,1207.9257868333286
111,91342,54,86000US91342,95222,22377,12291,3446,72845,56414,259,12.907731406607716,3.618911596059734,56.70958391968242
112,91343,366,86000US91343,64323,25399,12837,2475,38924,17825,55,19.957091553565597,3.847768294389254,569.003311412714
113,91344,184,86000US91344,53290,36180,23573,2120,17110,7843,78,44.23531619440796,3.978232313754926,345.28054043910674
114,91345,188,86000US91345,18763,5758,3335,308,13005,7311,36,17.77434312210201,1.6415285402121196,1001.9719661035017
115,91352,174,86000US91352,47079,12915,8864,652,34164,27020,141,18.827927526073196,1.38490622145755,369.5915376282419
116,91356,183,86000US91356,29728,24570,20362,1050,5158,2279,39,68.4943487621098,3.532023681377826,615.5812701829925
117,91364,64,86000US91364,27607,23780,19159,1474,3827,2299,36,69.39906545441373,5.339225558735103,231.82526170898686
118,91367,273,86000US91367,42319,37417,27830,1724,4902,2658,26,65.76242349771971,4.073820269855148,645.1003095536284
119,91401,343,86000US91401,41019,22653,17201,2005,18366,7052,153,41.934225602769445,4.88797874155879,836.1978595285112
120,91402,490,86000US91402,71765,19124,5539,1725,52641,28032,170,7.718247056364523,2.4036786734480597,682.7840869504633
121,91403,120,86000US91403,24579,22313,18027,1431,2266,1861,53,73.34309776638594,5.822043207616258,488.22165263029416
122,91405,477,86000US91405,54356,20297,13064,1970,34059,9197,30,24.034145264552212,3.624254912061226,877.5480167782765
123,91406,198,86000US91406,55385,23842,15275,2597,31543,9662,56,27.579669585627876,4.688995215311005,357.4975173783516
124,91411,298,86000US91411,25290,12677,9039,1082,12613,8989,160,35.741399762752074,4.27837089758798,1178.3313562672993
125,91423,126,86000US91423,34140,29891,24170,1799,4249,3402,41,70.796719390744,5.269478617457528,369.0685413005272
126,91436,63,86000US91436,14353,13704,12188,161,649,522,0,84.91604542604334,1.1217167142757611,438.9326273252978
127,91504,13,86000US91504,26833,20517,14452,529,6316,3421,57,53.85905414974099,1.9714530615287145,48.447806805053474
128,91601,362,86000US91601,39318,24049,16363,2863,15269,9407,159,41.617071061600285,7.281652169489801,920.6978991810367
129,91602,123,86000US91602,18615,15994,12423,1304,2621,1446,25,66.73650282030621,7.005103411227505,660.7574536663981
130,91604,96,86000US91604,30386,27411,22526,1361,2975,2262,229,74.13282432699269,4.479036398341341,315.93497005199765
131,91605,446,86000US91605,55377,21536,14617,1804,33841,18824,375,26.395434927858137,3.2576701518681044,805.3885186990989
132,91606,425,86000US91606,45040,20569,15489,1794,24471,13011,272,34.389431616341035,3.983126110124334,943.6056838365897
133,91607,191,86000US91607,31405,23968,18840,2162,7437,5778,51,59.99044738099029,6.884254099665658,608.1834102849864
134,91608,33,86000US91608,0,0,0,0,0,0,0,,,inf
